Body weight (lbs),ADG (lbs),DM Intake (lbs/day),TDN (% DM),NEm (Mcal/lb),NEg (Mcal/lb),CP (% DM),Ca (%DM),P (% DM),TDN (lbs),NEm (Mcal),NEg (Mcal),CP (lbs),Ca (grams),P (grams)
605,0.7,16.3,50,0.45,0.20,7.5,0.22,0.13,8.2,5.2,1.0,1.2,18,9
605,1.9,17.3,60,0.61,0.35,10.0,0.36,0.19,10.4,5.2,3.0,1.7,27,14
605,2.9,16.9,70,0.76,0.48,12.7,0.49,0.24,11.8,5.2,4.8,2.2,36,18
605,3.6,15.9,80,0.90,0.61,15.3,0.61,0.29,12.7,5.2,6.1,2.4,45,23
605,4.0,14.7,90,1.04,0.72,17.8,0.72,0.34,13.2,5.2,7.0,2.6,50,23
660,0.7,17.5,50,0.45,0.20,7.5,0.21,0.13,8.8,5.5,1.1,1.3,18,9
660,1.9,18.4,60,0.61,0.35,9.7,0.34,0.18,11.0,5.5,3.2,1.8,27,14
660,2.9,18.0,70,0.76,0.48,12.3,0.45,0.23,12.6,5.5,5.1,2.2,36,18
660,3.6,17.0,80,0.90,0.61,14.7,0.56,0.27,13.6,5.5,6.5,2.5,45,23
660,4.0,15.7,90,1.04,0.72,17.1,0.66,0.32,14.1,5.5,7.4,2.7,45,23
715,0.7,18.5,50,0.45,0.20,7.5,0.20,0.13,9.3,5.9,1.1,1.4,18,9
715,1.9,19.6,60,0.61,0.35,9.2,0.32,0.17,11.8,5.9,3.5,1.8,27,14
715,2.9,19.1,70,0.76,0.48,11.5,0.42,0.21,13.4,5.9,5.5,2.2,36,18
715,3.6,18.1,80,0.90,0.61,13.7,0.52,0.26,14.5,5.9,6.9,2.5,41,23
715,4.0,16.7,90,1.04,0.72,15.9,0.61,0.30,15.0,5.9,7.9,2.7,45,23
770,0.7,19.6,50,0.45,0.20,7.5,0.20,0.12,9.8,6.2,1.2,1.5,18,9
770,1.9,20.7,60,0.61,0.35,8.8,0.30,0.16,12.4,6.2,3.6,1.8,27,14
770,2.9,20.2,70,0.76,0.48,10.9,0.39,0.20,14.1,6.2,5.8,2.2,36,18
770,3.6,19.1,80,0.90,0.61,12.9,0.48,0.24,15.3,6.2,7.3,2.5,41,23
770,4.0,17.6,90,1.04,0.72,14.8,0.56,0.28,15.8,6.2,8.3,2.6,45,23
825,0.7,20.6,50,0.45,0.20,7.5,0.19,0.12,0.3,6.6,1.3,1.6,18,14
825,1.9,21.8,60,0.61,0.35,8.4,0.28,0.16,13.1,6.6,3.8,1.8,27,18
825,2.9,21.3,70,0.76,0.48,10.3,0.37,0.19,14.9,6.6,6.1,2.2,36,18
825,3.6,20.1,80,0.90,0.61,12.1,0.44,0.23,16.1,6.6,7.7,2.4,41,23
825,4.0,18.6,90,1.04,0.72,13.9,0.52,0.26,16.7,6.6,8.8,2.6,45,23
880,0.7,21.7,50,0.45,0.20,7.5,0.19,0.12,10.9,6.9,1.3,1.6,18,14
880,1.9,22.9,60,0.61,0.35,8.1,0.27,0.15,13.7,6.9,4.0,1.9,27,14
880,2.9,22.4,70,0.76,0.48,9.8,0.34,0.18,15.7,6.9,6.4,2.2,36,18
880,3.6,21.1,80,0.90,0.61,11.4,0.42,0.22,16.9,6.9,8.1,2.4,41,23
880,4.0,19.5,90,1.04,0.72,13.1,0.48,0.25,17.6,6.9,9.2,2.6,41,23
