Body weight (lbs),ADG (lbs),DM Intake (lbs/day),TDN (% DM),NEm (Mcal/lb),NEg (Mcal/lb),CP (% DM),Ca (%DM),P (% DM),TDN (lbs),NEm (Mcal),NEg (Mcal),CP (lbs),Ca (grams),P (grams)
900,0.4,22,50,0.45,0.2,7.5,0.16,0.11,11.0,8.0,0.9,1.7,18,14
900,1.6,23,60,0.61,0.35,7.5,0.23,0.14,14.0,8.0,3.5,1.7,23,14
900,2.5,23,70,0.76,0.48,8.8,0.3,0.16,15.9,8.0,5.8,2.0,32,18
900,3.1,22,80,0.9,0.61,10.2,0.36,0.19,17.2,8.0,7.6,2.2,36,18
1000,0.4,24,50,0.45,0.2,7.5,0.16,0.11,11.9,8.7,1.0,1.8,18,14
1000,1.6,25,60,0.61,0.35,7.5,0.22,0.13,15.1,8.7,3.8,1.9,27,14
1000,2.5,25,70,0.76,0.48,8.1,0.27,0.15,17.2,8.7,6.3,2.0,32,18
1000,3.1,23,80,0.9,0.61,9.3,0.32,0.18,18.6,8.7,8.2,2.2,32,18
1100,0.4,26,50,0.45,0.2,7.5,0.16,0.11,2.8,9.4,1.0,1.9,18,14
1100,1.6,27,60,0.61,0.35,7.5,0.2,0.13,16.2,9.4,4.1,2.0,27,14
1100,2.5,26,70,0.76,0.48,7.5,0.25,0.14,18.5,9.4,6.8,2.0,32,18
1100,3.1,25,80,0.9,0.61,8.6,0.29,0.16,19.9,9.4,8.8,2.1,32,18
1200,0.4,27,50,0.45,0.2,7.5,0.16,0.11,13.7,10.0,1.1,2.0,18,14
1200,1.6,29,60,0.61,0.35,7.5,0.19,0.12,17.3,10.0,4.4,2.2,27,18
1200,2.5,28,70,0.76,0.48,7.5,0.23,0.14,19.7,10.0,7.2,2.1,27,18
1200,3.1,27,80,0.9,0.61,7.9,0.26,0.15,21.3,10.0,9.4,2.1,32,18
1300,0.4,29,50,0.45,0.2,7.5,0.16,0.11,14.5,10.6,1.2,2.2,23,14
1300,1.6,31,60,0.61,0.35,7.5,0.19,0.12,18.4,10.6,4.6,2.3,27,18
1400,0.4,31,50,0.45,0.2,7.5,0.16,0.11,15.4,11.2,1.2,2.3,23,18
1400,1.6,32,60,0.61,0.35,7.5,0.18,0.12,19.4,11.2,4.9,2.4,27,18
1500,0.4,32,50,0.45,0.2,7.5,0.16,0.11,16.2,11.8,1.3,2.4,23,18
1500,1.6,34,60,0.61,0.35,7.5,0.17,0.12,20.5,11.8,5.1,2.6,27,18
1600,0.4,34,50,0.45,0.2,7.5,0.16,0.12,17.0,12.4,1.4,2.6,23,18
1600,1.6,36,60,0.61,0.35,7.5,0.16,0.11,21.5,12.4,5.4,2.7,27,18
1700,0.0,33,46,0.39,0.0,7.5,0.16,0.12,15.1,13.0,0.0,2.5,23,18
1700,0.4,36,50,0.45,0.2,7.5,0.16,0.12,17.8,13.0,1.4,2.7,27,18
