Weight(lbs),Expected calf birth weight(lbs),DM intake(lbs/day),DM intake (% of BW),TDN(% DM),NEm(Mcal/lb),CP(% DM),Ca (%DM),P (% DM), TDN (lbs),NEm (Mcal),CP (lbs),Ca (g),P (g)
900,64,18.6,2.1,54,0.51,7.5,0.25,0.16,10.1,9.4,1.4,21,14
1000,70,20.1,2.0,54,0.51,7.5,0.25,0.17,10.9,10.2,1.51,23,15
1100,75,21.6,2.0,54,0.51,7.5,0.26,0.17,11.7,10.9,1.62,25,17
1200,83,23.9,1.9,54,0.51,7.5,0.26,0.17,13.0,12.1,1.8,28,19
1300,85,24.5,1.9,54,0.51,7.5,0.26,0.18,13.3,12.4,1.84,29,20
1400,90,25.9,1.8,54,0.51,7.5,0.27,0.18,14.1,13.1,1.94,31,21
1500,95,27.3,1.8,54,0.51,7.5,0.27,0.18,14.8,13.8,2.20,33,22
