Body weight (lbs),ADG (lbs),DM Intake (lbs/day),TDN (% DM),NEm (Mcal/lb),NEg (Mcal/lb),CP (% DM),Ca (%DM),P (% DM),TDN (lbs),NEm (Mcal),NEg (Mcal),CP (lbs),Ca (grams),P (grams)
1000,0.5,24,50,0.45,0.2,7.5,0.17,0.12,11.9,8.7,1.0,1.8,18,14.0
1000,1.7,25,60,0.61,0.35,7.5,0.25,0.14,15.1,8.7,3.8,1.9,27,18.0
1000,2.8,25,70,0.76,0.48,9.1,0.32,0.17,17.2,8.7,6.3,2.2,36,18.0
1000,3.5,23,80,0.9,0.61,10.5,0.38,0.2,18.6,8.7,8.2,2.4,41,22.7
1100,0.5,26,50,0.45,0.2,7.5,0.17,0.12,12.8,9.4,1.0,1.9,18,14.0
1100,1.7,27,60,0.61,0.35,7.5,0.23,0.14,16.2,9.4,4.1,2.0,27,18.0
1100,2.8,26,70,0.76,0.48,8.4,0.29,0.16,18.5,9.4,6.8,2.2,36,18.0
1100,3.5,25,80,0.9,0.61,9.8,0.35,0.19,19.9,9.4,8.8,2.4,41,23.0
1200,0.5,27,50,0.45,0.2,7.5,0.17,0.12,13.7,10.0,1.1,2.0,23,14.0
1200,1.7,29,60,0.61,0.35,7.5,0.22,0.13,17.3,10.0,4.3,2.2,27,18.0
1200,2.8,28,70,0.76,0.48,7.9,0.27,0.16,19.7,10.0,7.2,2.2,36,18.0
1200,3.5,27,80,0.9,0.61,9.0,0.32,0.18,21.3,10.0,9.4,2.4,36,23.0
1300,0.5,29,50,0.45,0.2,7.5,0.17,0.12,14.5,10.6,1.2,2.2,23,14.0
1300,1.7,31,60,0.61,0.35,7.5,0.21,0.13,18.4,10.6,4.6,2.3,27,18.0
1300,2.8,30,70,0.76,0.48,7.5,0.25,0.15,21.0,10.6,7.7,2.3,32,18.0
1300,3.5,28,80,0.9,0.61,8.4,0.29,0.17,22.6,10.6,10.0,2.4,36,23.0
1400,0.5,31,50,0.45,0.2,7.5,0.16,0.12,15.4,11.2,1.2,2.3,23,18.0
1400,1.7,32,60,0.61,0.35,7.5,0.2,0.13,19.4,11.2,4.9,2.4,27,18.0
1500,0.5,32,50,0.45,0.2,7.5,0.16,0.12,16.2,11.8,1.3,2.4,23,18.0
1500,1.7,34,60,0.61,0.35,7.5,0.19,0.13,20.5,11.8,5.1,2.6,32,18.0
1600,0.5,34,50,0.45,0.2,7.5,0.17,0.12,17.0,12.4,1.4,2.6,27,18.0
1600,1.7,36,60,0.61,0.35,7.5,0.18,0.12,21.5,12.4,5.4,2.7,32,18.0
1700,0.5,36,50,0.45,0.2,7.5,0.16,0.12,17.8,13.0,1.4,2.7,27,18.0
1700,1.7,38,60,0.61,0.35,7.5,0.18,0.12,22.5,13.0,5.6,2.9,32,23.0
1800,0.5,37,50,0.45,0.2,7.5,0.16,0.12,18.5,13.5,1.5,2.9,27,18.0
1800,1.7,39,60,0.61,0.35,7.5,0.17,0.12,23.5,13.5,5.9,2.8,32,23.0
1900,0.5,39,50,0.45,0.2,7.5,0.16,0.12,19.3,14.1,1.5,2.9,27,23.0
1900,1.7,41,60,0.61,0.35,7.5,0.17,0.12,24.5,14.1,6.1,3.1,32,23.0
2000,0.0,37,46,0.39,0.0,7.5,0.17,0.13,17.1,14.6,0.0,2.8,27,23.0
2000,0.5,40,50,0.45,0.2,7.5,0.16,0.12,20.1,14.6,1.6,3.0,32,23.0
