Body weight (lbs),ADG (lbs),DM Intake (lbs/day),TDN (% DM),NEm (Mcal/lb),NEg (Mcal/lb),CP (% DM),Ca (%DM),P (% DM),TDN (lbs),NEm (Mcal),NEg (Mcal),CP (lbs),Ca (grams),P (grams),target_weight,type
1040,4.0,23.9,80,0.9,0.61,11.3,0.41,0.22,19.1,7.8,9.2,2.7,45.0,23.0,1300,1
1040,4.5,22.1,90,1.04,0.72,12.9,0.48,0.25,19.9,7.8,10.4,2.9,50.0,27.0,1300,1
770,0.8,19.6,50,0.45,0.2,7.5,0.22,0.13,9.8,6.2,1.2,1.5,18.0,14.0,1400,1
770,2.2,20.7,60,0.61,0.35,10.1,0.36,0.19,12.4,6.2,3.7,2.1,36.0,18.0,1400,1
770,3.4,20.2,70,0.76,0.48,12.9,0.49,0.24,14.1,6.2,5.8,2.6,41.0,23.0,1400,1
770,4.2,19.1,80,0.9,0.61,15.6,0.61,0.29,15.3,6.2,7.3,3.0,54.0,27.0,1400,1
770,4.7,17.6,90,1.04,0.72,18.1,0.72,0.34,15.8,6.2,8.3,3.2,59.0,27.0,1400,1
840,0.8,20.9,50,0.45,0.2,7.5,0.21,0.13,10.5,6.6,1.3,1.6,18.0,14.0,1400,1
840,2.2,22.1,60,0.61,0.35,9.6,0.34,0.18,13.3,6.6,3.9,2.1,36.0,18.0,1400,1
840,3.4,21.6,70,0.76,0.48,12.1,0.45,0.23,15.1,6.6,6.2,2.6,41.0,23.0,1400,1
840,4.2,20.4,80,0.9,0.61,14.5,0.56,0.27,16.3,6.6,7.8,3.0,50.0,27.0,1400,1
840,4.7,18.8,90,1.04,0.72,16.8,0.65,0.32,16.9,6.6,8.9,3.2,54.0,27.0,1400,1
910,0.8,22.2,50,0.45,0.2,7.5,0.21,0.13,11.1,7.1,1.4,1.7,23.0,14.0,1400,1
910,2.2,23.5,60,0.61,0.35,9.1,0.32,0.17,14.1,7.1,4.1,2.1,36.0,18.0,1400,1
910,3.4,22.9,70,0.76,0.48,11.3,0.42,0.22,16.0,7.1,6.6,2.6,41.0,23.0,1400,1
910,4.2,21.6,80,0.9,0.61,13.5,0.51,0.26,17.3,7.1,8.3,2.9,50.0,27.0,1400,1
910,4.7,20.0,90,1.04,0.72,15.6,0.6,0.3,18.0,7.1,9.5,3.1,54.0,27.0,1400,1
980,0.8,23.5,50,0.45,0.2,7.5,0.2,0.13,11.8,7.5,1.4,1.8,23.0,14.0,1400,1
980,2.2,24.8,60,0.61,0.35,8.7,0.3,0.17,14.9,7.5,4.4,2.2,32.0,18.0,1400,1
980,3.4,24.2,70,0.76,0.48,10.7,0.39,0.2,16.9,7.5,6.9,2.6,41.0,23.0,1400,1
980,4.2,22.9,80,0.9,0.61,12.6,0.47,0.24,18.3,7.5,8.8,2.9,50.0,27.0,1400,1
980,4.7,21.1,90,1.04,0.72,14.5,0.56,0.28,19.0,7.5,10.0,3.1,54.0,27.0,1400,1
1050,0.8,24.7,50,0.45,0.2,7.5,0.2,0.13,12.4,7.9,1.5,1.9,23.0,14.0,1400,1
1050,2.2,26.1,60,0.61,0.35,8.3,0.28,0.16,5.7,7.9,4.6,2.2,32.0,18.0,1400,1
1050,3.4,25.5,70,0.76,0.48,10.1,0.37,0.2,17.9,7.9,7.3,2.6,41.0,23.0,1400,1
1050,4.2,24.1,80,0.9,0.61,11.9,0.44,0.23,19.3,7.9,9.3,2.9,50.0,27.0,1400,1
1050,4.7,22.2,90,1.04,0.72,13.6,0.51,0.26,20.0,7.9,10.5,3.0,50.0,27.0,1400,1
1120,0.8,25.9,50,0.45,0.2,7.5,0.19,0.13,13.0,8.2,1.6,1.9,23.0,14.0,1400,1
1120,2.2,27.4,60,0.61,0.35,8.0,0.27,0.16,16.4,8.2,4.8,2.2,32.0,18.0,1400,1
1120,3.4,26.8,70,0.76,0.48,9.6,0.34,0.19,18.8,8.2,7.7,2.6,41.0,23.0,1400,1
1120,4.2,25.3,80,0.9,0.61,11.2,0.41,0.22,20.2,8.2,9.7,2.8,45.0,27.0,1400,1
1120,4.7,23.3,90,1.04,0.72,12.8,0.48,0.25,21.0,8.2,11.1,3.0,50.0,27.0,1400,1
900,0.4,22.0,50,0.45,0.2,7.5,0.16,0.11,11.0,8.0,0.9,1.7,18.0,14.0,1700,2
900,1.6,23.0,60,0.61,0.35,7.5,0.23,0.14,14.0,8.0,3.5,1.7,23.0,14.0,1700,2
900,2.5,23.0,70,0.76,0.48,8.8,0.3,0.16,15.9,8.0,5.8,2.0,32.0,18.0,1700,2
900,3.1,22.0,80,0.9,0.61,10.2,0.36,0.19,17.2,8.0,7.6,2.2,36.0,18.0,1700,2
1000,0.4,24.0,50,0.45,0.2,7.5,0.16,0.11,11.9,8.7,1.0,1.8,18.0,14.0,1700,2
1000,1.6,25.0,60,0.61,0.35,7.5,0.22,0.13,15.1,8.7,3.8,1.9,27.0,14.0,1700,2
1000,2.5,25.0,70,0.76,0.48,8.1,0.27,0.15,17.2,8.7,6.3,2.0,32.0,18.0,1700,2
1000,3.1,23.0,80,0.9,0.61,9.3,0.32,0.18,18.6,8.7,8.2,2.2,32.0,18.0,1700,2
1100,0.4,26.0,50,0.45,0.2,7.5,0.16,0.11,2.8,9.4,1.0,1.9,18.0,14.0,1700,2
1100,1.6,27.0,60,0.61,0.35,7.5,0.2,0.13,16.2,9.4,4.1,2.0,27.0,14.0,1700,2
1100,2.5,26.0,70,0.76,0.48,7.5,0.25,0.14,18.5,9.4,6.8,2.0,32.0,18.0,1700,2
1100,3.1,25.0,80,0.9,0.61,8.6,0.29,0.16,19.9,9.4,8.8,2.1,32.0,18.0,1700,2
1200,0.4,27.0,50,0.45,0.2,7.5,0.16,0.11,13.7,10.0,1.1,2.0,18.0,14.0,1700,2
1200,1.6,29.0,60,0.61,0.35,7.5,0.19,0.12,17.3,10.0,4.4,2.2,27.0,18.0,1700,2
1200,2.5,28.0,70,0.76,0.48,7.5,0.23,0.14,19.7,10.0,7.2,2.1,27.0,18.0,1700,2
1200,3.1,27.0,80,0.9,0.61,7.9,0.26,0.15,21.3,10.0,9.4,2.1,32.0,18.0,1700,2
1300,0.4,29.0,50,0.45,0.2,7.5,0.16,0.11,14.5,10.6,1.2,2.2,23.0,14.0,1700,2
1300,1.6,31.0,60,0.61,0.35,7.5,0.19,0.12,18.4,10.6,4.6,2.3,27.0,18.0,1700,2
1400,0.4,31.0,50,0.45,0.2,7.5,0.16,0.11,15.4,11.2,1.2,2.3,23.0,18.0,1700,2
1400,1.6,32.0,60,0.61,0.35,7.5,0.18,0.12,19.4,11.2,4.9,2.4,27.0,18.0,1700,2
1500,0.4,32.0,50,0.45,0.2,7.5,0.16,0.11,16.2,11.8,1.3,2.4,23.0,18.0,1700,2
1500,1.6,34.0,60,0.61,0.35,7.5,0.17,0.12,20.5,11.8,5.1,2.6,27.0,18.0,1700,2
1600,0.4,34.0,50,0.45,0.2,7.5,0.16,0.12,17.0,12.4,1.4,2.6,23.0,18.0,1700,2
1600,1.6,36.0,60,0.61,0.35,7.5,0.16,0.11,21.5,12.4,5.4,2.7,27.0,18.0,1700,2
1700,0.0,33.0,46,0.39,0.0,7.5,0.16,0.12,15.1,13.0,0.0,2.5,23.0,18.0,1700,2
1700,0.4,36.0,50,0.45,0.2,7.5,0.16,0.12,17.8,13.0,1.4,2.7,27.0,18.0,1700,2
1000,0.5,24.0,50,0.45,0.2,7.5,0.17,0.12,11.9,8.7,1.0,1.8,18.0,14.0,2000,2
1000,1.7,25.0,60,0.61,0.35,7.5,0.25,0.14,15.1,8.7,3.8,1.9,27.0,18.0,2000,2
1000,2.8,25.0,70,0.76,0.48,9.1,0.32,0.17,17.2,8.7,6.3,2.2,36.0,18.0,2000,2
1000,3.5,23.0,80,0.9,0.61,10.5,0.38,0.2,18.6,8.7,8.2,2.4,41.0,22.7,2000,2
1100,0.5,26.0,50,0.45,0.2,7.5,0.17,0.12,12.8,9.4,1.0,1.9,18.0,14.0,2000,2
